pic_name,camera_movement_needed,result_text
1.jpg,是,"镜头缓慢推进，小猫转头看向毛线球，眼睛因好奇而睁大，伸出爪子轻柔地拍打毛线球，胡须因玩心而微微颤动。"
2.jpg,是,"镜头从俯视角度缓慢推进，女孩抬起头，眼中闪烁着温暖光芒，绽放温柔笑容，镜头在表情变化时轻微上升，捕捉仰望瞬间。"
3.jpg,是,"镜头跟随高速跑车加速前进，在车辆前进过程中镜头旋转180度，从车尾快速移动到车头，直接展现汽车全貌。"
4.jpg,是,"武士向前走并举起光剑，红色剑刃发出炽热光芒，长袍飘动，镜头旋转展现武士正面视角。"
5.jpg,否,"锦鲤优雅地在莲花池中游动，鱼鳍以优美节奏摆动，泛起轻柔涟漪，水墨画风格。"
6.jpg,是,"三匹马强劲向前奔腾，骑士白色斗篷在风中飘扬，镜头平滑跟随，聚焦马群动态，背景逐渐变暗，突出奔跑的力量感。"
7.jpg,是,"跟踪镜头，过山车女孩紧握安全扶手，紧张兴奋的表情，过山车上升，俯视角度，背景是地面游乐园景色，到达顶峰后快速俯冲，镜头切换为仰拍，背景是蓝天。"
8.jpg,是,"镜头手持稳定器紧跟奔跑角色，穿梭狭窄巷道，背景墙壁碎片快速模糊掠过，营造强烈速度感和运动感，打造追逐般的视觉体验。"
9.jpg,否,"女巫优雅举起魔法棒，神秘能量在周围旋转，秋叶在魔法气流中舞动，帽子装饰摇摆，营造迷人氛围。"
10.jpg,是,"镜头从远景缓慢推近，女孩坐在无边泳池旁，双腿在清澈水中摆动，热带微风轻抚头发，展现绝美度假景色。"
11.jpg,否,"四位少女在温馨咖啡厅亲密聊天，偶尔举杯庆祝，头发衣物自然摆动，背景仙女灯温暖闪烁。"
12.jpg,否,"少女优雅旋转，长长的黑发以美丽弧线飘动，泰迪熊在她周围轻柔飘浮，营造梦幻失重氛围。"
13.jpg,是,"镜头从后方跟随徒步者沿山径前行，捕捉旅程节奏，日出投下长影，背包随步伐摆动。"
14.jpg,是,"镜头在三位角色间缓慢推拉，捕捉自然对话，表情变化，微妙手势和头部动作，衣物在轻风中摆动。"
15.jpg,否,"小女孩兴奋地挥舞双手，巨大中国龙在空中优雅蜿蜒游动，红灯笼轻柔摇摆，烟花绚烂绽放庆祝。"
16.jpg,是,"镜头缓慢推近，女孩将茶杯送到唇边，红毛衣自然移动，温暖笑容绽放，蒸汽优雅升起。"
17.jpg,是,"镜头跟随狐耳女仆端蛋糕前行，尾巴有节奏摆动，蜡烛摇曳，在庄园走廊中保持平衡。"
18.jpg,是,"镜头在三位角色间移动，捕捉自然对话瞬间，面部表情和肢体语言微妙变化，头发轻柔摆动。"
19.jpg,是,"镜头缓慢旋转，星夜天空旋转图案，星星闪烁强度变化，营造宇宙舞蹈，柏树伫立前景。"
20.jpg,是,"镜头从上方俯拍，女孩在装饰浴缸中轻柔游动，泛起涟漪，花瓣飘浮，营造水疗氛围。"